1,0.0,0.0,0.0,0.0,1,1,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,||,1,0.0,0.0
1,0.0,0.0,0.0,0.0,1,1,0.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,||,1,0.0,0.0
1,0.0,0.0,0.0,1,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,||,0.0,0.0,1
0.0,0.0,1,0.0,1,0.0,1,0.0,1,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,6.0,5.0,||,0.0,0.0,1
0.0,0.0,1,0.0,1,0.0,1,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7142857142857143,0.0,0.2857142857142857,7.0,6.0,||,0.0,0.0,1
0.0,0.0,1,0.0,1,0.0,1,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.625,0.0,0.375,8.0,7.0,||,0.0,0.0,1
0.0,0.0,1,0.0,1,0.0,1,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5555555555555556,0.0,0.4444444444444444,9.0,8.0,||,0.0,0.0,1
0.0,0.0,1,0.0,1,0.0,1,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.5,10.0,9.0,||,0.0,0.0,1
0.0,0.0,1,0.0,1,0.0,1,0.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.45454545454545453,0.0,0.5454545454545454,11.0,10.0,||,0.0,0.0,1
0.0,0.0,1,0.0,1,0.0,1,0.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4166666666666667,0.0,0.5833333333333334,12.0,11.0,||,0.0,1,0.0
0.0,1,0.0,0.0,1,0.0,0.0,1,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.38461538461538464,0.07692307692307693,0.5384615384615384,13.0,11.0,||,0.0,0.0,1
0.0,0.0,1,0.0,1,0.0,1,0.0,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.35714285714285715,0.07142857142857142,0.5714285714285714,14.0,12.0,||,0.0,0.0,1
